year,est,min,max,VE,outcome
2021,50068.849773175534,28162.107579007243,92051.15870921065,VE1,Ires_
2022,150983.9244002976,89800.99967479656,264820.3354229654,VE1,Ires_
2023,303559.0984116089,187326.54678214816,518796.7408584431,VE1,Ires_
2024,508627.5951140457,322062.2822145388,850664.7597759671,VE1,Ires_
2025,789536.8090647799,506322.0454774894,1303226.6313266475,VE1,Ires_
2026,1147598.7804002168,744482.2259666664,1872874.941257106,VE1,Ires_
2027,1583948.2726823578,1031986.227393858,2562057.8035190552,VE1,Ires_
2028,2099855.4447299363,1372873.4486024082,3377266.6604218856,VE1,Ires_
2029,2696599.0378220356,1772840.3478581426,4304820.24005102,VE1,Ires_
2030,3375495.649406405,2230238.575648701,5358936.094872056,VE1,Ires_
2021,17887.321599532133,10363.657105295217,29157.807706782674,VE1,D_
2022,53957.119703907854,33513.18241828948,84672.69710275481,VE1,D_
2023,108521.66283698504,70343.90824332304,165626.2941796768,VE1,D_
2024,181899.47709396854,121572.77387940438,271687.2939170722,VE1,D_
2025,282748.5209765879,194288.99592032022,416898.1587977819,VE1,D_
2026,411570.447430106,288216.9820141171,600209.5613983033,VE1,D_
2027,568783.108646005,403534.45286827243,820819.9341133315,VE1,D_
2028,754860.3195862605,540688.5412647661,1080535.9502283724,VE1,D_
2029,970277.7154387833,700456.4044704735,1380912.0056273362,VE1,D_
2030,1215527.8437499637,883214.7071906185,1721155.7847433737,VE1,D_
2021,50068.849773175534,28162.107579007243,92051.15870921065,VE1,Ires2_
2022,352382.6116149293,204026.53960332126,618685.7298526806,VE1,Ires2_
2023,1112357.4419866875,657431.593283305,1892771.4046269,VE1,Ires2_
2024,2538606.275490461,1549475.0028840462,4186409.629993708,VE1,Ires2_
2025,5241956.492799132,3214826.6155558266,8548209.986551905,VE1,Ires2_
2026,9538074.813137611,5911008.600198284,15423188.737898303,VE1,Ires2_
2027,15748086.50453753,9869106.496116437,25219180.30131331,VE1,Ires2_
2028,24197853.60626536,15294017.213627964,38516528.85855858,VE1,Ires2_
2029,35218418.13424007,22458307.11051276,55688547.104156286,VE1,Ires2_
2030,49146723.15964072,31638922.90833236,77093219.36856085,VE1,Ires2_
2021,3999923.4813087615,2629134.3864613003,5970486.033348706,VE2,I_
2022,13339754.230852375,9209382.05997394,19025108.853336737,VE2,I_
2023,29382967.687463317,21311548.15745213,40792748.92210178,VE2,I_
2024,53517316.33918776,39757505.09150392,72713339.19467695,VE2,I_
2025,87679111.51323211,66425529.93991235,117339581.80346748,VE2,I_
2026,132049293.25761342,101966013.87048928,174887849.7801656,VE2,I_
2027,186793498.52796143,146701024.30569196,244939764.6588535,VE2,I_
2028,252086432.86126623,200532577.42228535,328097872.0818771,VE2,I_
2029,328103229.2963505,264055387.43590224,424822906.4244766,VE2,I_
2030,415019630.7273753,337430997.7468596,534110118.51938164,VE2,I_
2021,30597.630416940603,17210.17685383776,56253.485877850944,VE2,Ires_
2022,102003.56347829934,60784.20098743645,178785.0440198602,VE2,Ires_
2023,224593.32915643588,137847.4350928568,383571.0605608572,VE2,Ires_
2024,408916.7184727062,257509.8299002594,680729.2850008374,VE2,Ires_
2025,668723.764592157,426862.7754674996,1098455.888022432,VE2,Ires_
2026,1005292.7252400765,649518.7174989255,1632856.1969046327,VE2,Ires_
2027,1419820.3877862548,921036.6160564078,2287603.6129779825,VE2,Ires_
2028,1913571.1823886195,1245847.3136610328,3067259.276050646,VE2,Ires_
2029,2487819.773959104,1629326.9231384683,3959259.7329758396,VE2,Ires_
2030,3143847.5573967034,2069139.2278260377,4978268.4731208645,VE2,Ires_
2021,10931.140977491857,6333.346008791521,17818.66026525608,VE2,D_
2022,36451.88568563049,22739.722133420095,57149.71242807688,VE2,D_
2023,80285.81996574617,52447.33447688489,122763.4520970468,VE2,D_
2024,146222.39699453063,98093.24628007268,218796.77780611665,VE2,D_
2025,239495.78525810438,164829.81689756,354269.26346147363,VE2,D_
2026,360595.42921718035,252875.33077129003,527345.1727619817,VE2,D_
2027,509969.2134011545,362161.65418912086,737826.9040797737,VE2,D_
2028,688089.5483639678,493783.2921850874,986910.8073891527,VE2,D_
2029,895429.8216972481,647627.9775852414,1276703.4353114702,VE2,D_
2030,1132464.9756796376,824531.6384008919,1606599.9557506046,VE2,D_
2021,30597.630416940603,17210.17685383776,56253.485877850944,VE2,Ires2_
2022,264278.43540550367,151921.01771983178,465428.83770560205,VE2,Ires2_
2023,954564.847317324,559024.7871181376,1625871.800659373,VE2,Ires2_
2024,2437311.7874854384,1481331.4592780455,4022119.2912030355,VE2,Ires2_
2025,5197947.275534745,3178021.5826098286,8482718.732877279,VE2,Ires2_
2026,9552227.171533532,5904381.027298855,15453472.740272539,VE2,Ires2_
2027,15821302.72980516,9897786.360360812,25349055.804636784,VE2,Ires2_
2028,24331248.656738043,15361741.165976088,38737291.53188808,VE2,Ires2_
2029,35413246.632396474,22566682.21306281,55999481.66806952,VE2,Ires2_
2030,49403701.96557802,31790563.441777606,77500090.13051316,VE2,Ires2_
2021,6545329.333050701,4302219.9051184915,9769886.236388791,VE3,I_
2022,19746083.953605935,13626218.786065985,28208348.32440662,VE3,I_
2023,39717359.21126482,28717397.714533284,55158886.645057335,VE3,I_
2024,66576584.898664795,49418047.529941544,90571384.70490018,VE3,I_
2025,100820142.70261955,76317744.91881779,135130911.7969137,VE3,I_
2026,142588566.66614497,109962684.69739252,189014437.28169656,VE3,I_
2027,191988162.0489053,150369136.82325658,252097058.61801937,VE3,I_
2028,249144805.24318886,197484100.7895261,324567801.34741974,VE3,I_
2029,314184396.7560459,251915448.4693779,407103799.4030486,VE3,I_
2030,387232751.180375,313539265.8895689,498850639.6254612,VE3,I_
2021,50068.849773175534,28162.107579007243,92051.15870921065,VE3,Ires_
2022,150983.9244002976,89800.99967479656,264820.3354229654,VE3,Ires_
2023,303559.0984116089,187326.54678214816,518796.7408584431,VE3,Ires_
2024,508627.5951140457,322062.2822145388,850664.7597759671,VE3,Ires_
2025,769218.6198727167,493761.1502991845,1270249.276282389,VE3,Ires_
2026,1086328.4814195964,704568.7062328076,1774222.811374825,VE3,Ires_
2027,1460751.878356819,951641.4799248565,2365317.631499274,VE3,Ires_
2028,1893410.9998734856,1237942.6471597166,3049627.7193850074,VE3,Ires_
2029,2385227.7620650176,1568082.548441047,3816147.4205966974,VE3,Ires_
2030,2937118.6011553146,1940011.8521264754,4674354.53894984,VE3,Ires_
2021,17887.321599532133,10363.657105295217,29157.807706782674,VE3,D_
2022,53957.119703907854,33513.18241828948,84672.69710275481,VE3,D_
2023,108521.66283698504,70343.90824332304,165626.2941796768,VE3,D_
2024,181899.47709396854,121572.77387940438,271687.2939170722,VE3,D_
2025,275405.6813995605,189048.35856354513,405800.4920854408,VE3,D_
2026,389420.967168786,272358.29040665424,567438.1717828094,VE3,D_
2027,524231.9871065562,371538.2187748601,756387.4039297313,VE3,D_
2028,680178.7717413349,486479.1293335282,973741.85396077,VE3,D_
2029,857601.4172513591,618171.3858655097,1221050.1693980808,VE3,D_
2030,1056839.870702056,766711.143749669,1497708.8184168786,VE3,D_
2021,50068.849773175534,28162.107579007243,92051.15870921065,VE3,Ires2_
2022,352382.6116149293,204026.53960332126,618685.7298526806,VE3,Ires2_
2023,1112357.4419866875,657431.593283305,1892771.4046269,VE3,Ires2_
2024,2538606.275490461,1549475.0028840462,4186409.629993708,VE3,Ires2_
2025,4890428.826136585,3016095.830328078,7949040.731702955,VE3,Ires2_
2026,8395236.12668021,5236377.115468158,13518170.937248766,VE3,Ires2_
2027,13284202.43227942,8365864.582755083,21201142.051804684,VE3,Ires2_
2028,19791725.06522232,12557609.469829826,31380382.78619454,VE3,Ires2_
2029,28155824.22547496,18013796.804255296,44349447.74230139,VE3,Ires2_
2030,38618233.14686547,24927112.03735097,60419744.584263474,VE3,Ires2_
2021,2545405.8517419393,1673085.5186571914,3799400.2030400853,VE1,I_avd_
2022,7679032.648624528,5299085.083470106,10969913.23726924,VE1,I_avd_
2023,15446610.773984734,11168460.000931796,21452386.379776314,VE1,I_avd_
