country,GDPpercap,U5_mortality,trr,tfr,G,U,R,F,pred_trr,trr_lower,trr_upper,pred_tfr,tfr_lower,tfr_upper
Gabon,8016.990495469054,41.73,0.259,0.028,2.1524345968258527,-0.9315627909049345,-0.018209234362720546,0.3826030245967486,0.1071428783412631,-0.021841469837654004,0.22723330146050735,0.01096191803387057,-0.0036201212871793016,0.025053836705247773
Gambia,835.5944213893881,49.37,0.067,0.0168461538461538,-0.573544054922598,-0.6127591387760826,-1.1124313175942742,-0.2578831120767537,0.2505447890570385,0.1880951523345607,0.31324595260641996,0.024847115290854448,0.019089233234150245,0.030565260504136365
Ghana,2445.290749327607,44.71,0.501,0.0220263157894736,0.7209556194568523,-0.8072126752839948,1.36096651637705,0.03957678334021058,0.18178130219816746,0.12327709932153699,0.24629734631575353,0.019037338074663866,0.013164602197937116,0.02582510027536158
Guinea,1174.35297194486,95.56,0.248,0.0217333333333333,-0.1632572420083394,1.314667653348482,-0.08089904121452836,0.022752882520876944,0.3424937520735328,0.2757649240890084,0.41557062479381945,0.020078779126545494,0.013479888045700014,0.026882459531587903
Guinea-Bissau,812.9623730036054,76.84,0.28,0.025,-0.6066469136748532,0.533515249179358,0.10147130599073073,0.21033433956042805,0.31213250584732893,0.26180990827661127,0.3649236874552252,0.021136593481472822,0.016694414098460578,0.02556464618180641
Kenya,2006.832240085901,41.87,0.271,0.0331666666666666,0.48272937071759436,-0.9257208391643534,0.05017964583925161,0.6792879821592969,0.18503656368592353,0.126033137434331,0.2480049653493617,0.02010255204794503,0.013897571191006316,0.02598576876175018
Liberia,673.089067079932,78.28,0.655,0.0306,-0.8342649831716167,0.5936038956539059,2.2386238123023587,0.5319025516282263,0.32238489980813084,0.26283398404529956,0.3816686356813439,0.020788911416017675,0.015331682955827732,0.026175101578864685
Madagascar,514.9058617524541,50.24,0.1009999999999999,0.0076923076923076,-1.157226342742926,-0.5764555815310429,-0.9186628236886871,-0.7835234587260422,0.27749074299891596,0.1921046130583493,0.3539193105904175,0.027092673591637802,0.019025434203035676,0.03515350142040775
Malawi,642.6569157827774,38.58,0.294,0.0343333333333333,-0.8900421343257602,-1.0630067050680083,0.18125833289303125,0.7462813596734234,0.24187752120906653,0.1487819729493956,0.33047529004338594,0.028197609238593477,0.019047814104289667,0.03718874953402952
Mali,917.9130632505572,90.99,0.187,0.0085666666666666,-0.46027059068714227,1.1239696572452287,-0.42854251557455314,-0.7333152351385319,0.339330048421478,0.2750338553015606,0.4041922339486128,0.019558697949719272,0.013439995411881917,0.02529181578170385
