country,GDPpercap,U5_mortality,trr,tfr,pcr,G,U,R,F,pred_trr,trr_lower,trr_upper,pred_tfr,tfr_lower,tfr_upper
Comoros,1494.6876933989874,61.34,0.267,0.0041818181818181,0.0147272727272727,-0.024068293326895657,0.028646215372605636,0.02738335243859454,-0.9851059293279831,0.250650124943682,0.20933446645612852,0.29690067282521093,0.021688131010747822,0.018139427083396463,0.025373953373651757
Cabo Verde,3445.7565362099986,14.19,,,,0.8941689464844895,-1.7425994759349357,,,0.0779283931744441,-0.062052665958648445,0.21611643595060176,0.012642899224936565,-0.0030823164776527245,0.028878527166333
Algeria,3765.034624947021,22.68,,,,0.9915896007962894,-1.4236625529402163,,,0.09664703337964894,-0.022707274919111675,0.22413913563523052,0.012980004950801488,-0.0007872303633519907,0.02738580400190918
Eritrea,642.5082588,39.27,0.015,0.03055,0.0138,-0.9522733411815056,-0.800439519667849,-1.4087831318028192,0.5290314068776211,0.24285728787411023,0.15177930515097054,0.33168817350051805,0.027923705818917528,0.019152176154776678,0.03701688453748935
Ethiopia,943.965684225205,48.71,0.077,0.0164782608695652,0.0284166666666666,-0.5293278206556257,-0.4458147195418005,-1.0554405840926302,-0.27900859184709237,0.24285327737887144,0.18677209240305928,0.30402641441818384,0.02424321371433864,0.01907578625277902,0.02964680835188458
Gabon,8016.990495469054,41.73,0.259,0.028,0.0,1.8225133137979872,-0.708026700990934,-0.018209234362720227,0.3826030245967486,0.11098027733202094,-0.021358519386133812,0.22399185819200423,0.01122363044679075,-0.002400675118397564,0.026077493882540253
Ghana,2445.290749327607,44.71,0.501,0.0220263157894736,0.00115625,0.5171016251709821,-0.5960794653579228,1.3609665163770501,0.03957678334021058,0.1834852378648783,0.12310514965968489,0.24350892485234196,0.01910257231390899,0.01292826940242493,0.025400253623398254
Guinea,1174.35297194486,95.56,0.248,0.0217333333333333,0.0014285714285714,-0.28924050268371937,1.3141611158295314,-0.08089904121452803,0.022752882520876944,0.34230829876799784,0.27223283900720324,0.41072773518599515,0.020087380168236916,0.01305770368283304,0.026688485830107203
Gambia,835.5944213893881,49.37,0.067,0.0168461538461538,0.0232307692307692,-0.6633942344082275,-0.42102103648214045,-1.1124313175942735,-0.2578831120767537,0.25052664332842267,0.18955458028154334,0.31384038175607687,0.024774550347024964,0.018815656962528942,0.030180769061038306
Guinea-Bissau,812.9623730036054,76.84,0.28,0.025,,-0.6935817952633554,0.6109221054100794,0.10147130599073102,0.21033433956042805,0.3120370030328966,0.2631024416832419,0.3645863841283015,0.021142903146445683,0.01672194391648946,0.02562139640949295
Equatorial Guinea,8462.286329620772,78.49,0.332,0.026375,0.0,1.8819421200940225,0.6729063130592295,0.3978231201992767,0.28929082020207486,0.22879497752111486,0.070006551307941,0.38714367962203966,0.02270984185824132,0.006407152053578398,0.03944543812562122
Kenya,2006.832240085901,41.87,0.271,0.0331666666666666,0.0063333333333333,0.2998554521160581,-0.7027674348873697,0.05017964583925192,0.6792879821592969,0.18651873694342339,0.1293285942223765,0.24656202568509028,0.020145971843568783,0.014075079415890552,0.026013837150335308
Liberia,673.089067079932,78.28,0.655,0.0306,0.0124,-0.9011540287095715,0.6650174139038834,2.2386238123023587,0.5319025516282263,0.3222068526994672,0.26595678445475324,0.3824862596738492,0.020808663538418832,0.015518042275648038,0.02631348794045791
Lesotho,1166.4616665620524,89.52,,,,-0.29665299505155324,1.0872613496471868,,,0.3282653650265949,0.2658135972351976,0.387318065510725,0.020460674797032938,0.014646436123091522,0.026260363843073828
