country,GDPpercap,U5_mortality,trr,tfr,pcr,G,U,R,F,pred_trr,trr_lower,trr_upper,pred_pcr,pcr_lower,pcr_upper
Mozambique,500.444808525879,70.55,0.327,0.01525,0.0018333333333333,-1.2269908728737313,0.3746307926142269,0.3693277534484549,-0.672608440240827,0.31872027352767673,0.2527563434564889,0.38695511595365495,0.008580054601897747,0.005809053780706072,0.01139247957344252
Mauritania,1723.013865753646,70.71,0.1969999999999999,0.018,0.0,0.13221812707368544,0.3806413824468717,-0.37155178207290995,-0.8936603061682443,0.26826689006130094,0.2130177568095279,0.3203531491668221,0.006796937324271981,0.00469505069197526,0.00891407935713504
Mauritius,8812.10824897507,16.52,,,,1.9264753658746772,-1.6550702614970443,,,0.01925752037598034,-0.19964975155740589,0.24528588922486122,-0.0025517821083270577,-0.014352530384266652,0.008514020986864811
Malawi,642.6569157827774,38.58,0.294,0.0343333333333333,0.0046,-0.952019005580388,-0.8263601883211302,0.18125833289303153,-0.3390210789321689,0.24171147763867146,0.1495966931626738,0.33523211563718636,0.014544076635009635,0.010761978917685579,0.018864992422915075
Namibia,4729.270937352574,40.16,0.084,,,1.2422653377495638,-0.767005613723762,-1.0155470706414798,,0.13343925757903508,0.03688264955153575,0.22969940996972374,0.0037798127446226322,-0.0010824957611987318,0.008629634400630958
Niger,594.9251088712584,77.52,0.192,0.0212,0.0,-1.0368647672306068,0.6364671121988199,-0.40004714882373105,-0.8936603061682443,0.3258900517295795,0.26034884175585493,0.3883987995905216,0.006886585884414099,0.00429222946812649,0.009540823865708016
Nigeria,2085.0307647793584,113.8,0.435,0.0124761904761904,0.0113333333333333,0.3418807830746021,1.999368356751049,0.9848276752662036,0.47284213774672,0.37498885882024957,0.23284589430183003,0.5147556225011529,0.004354023526981533,-0.0018663104469583362,0.010997803278588174
Rwanda,833.829875672994,40.47,0.196,0.0316363636363636,0.031090909090909,-0.6657182933313146,-0.7553600959230125,-0.3772508554230737,2.8550870399728074,0.23113785098885103,0.15606856865839125,0.3106483285544116,0.012816711440750238,0.009572032328039583,0.016038170934952183
Senegal,1606.4720608731118,38.08,0.047,0.0045217391304347,0.0004782608695652,0.05522307704287174,-0.8451432815481456,-1.2264127845975605,-0.8359946020132669,0.18852882838320817,0.12509057402175117,0.2530293208648793,0.009606730914546315,0.006877491439383048,0.012299965226396859
Sierra Leone,515.9320918341255,107.8,0.57,0.002875,0.0,-1.1934839256708627,1.7739712380268655,1.7542025775383894,-0.8936603061682443,0.3912311437060901,0.25372703617847064,0.5171127240743768,0.0001457983920611441,-0.005769701338260522,0.0061670864891763015
South Sudan,1119.651437,97.86,0.319,,,-0.3416811914690286,1.4005633446738017,0.3237351666471402,,0.3499470092342621,0.27335450899549574,0.4230230803431757,0.003923367731531988,0.0007411236848335785,0.00702875189560588
Sao Tome and Principe,2449.333442436266,16.14,0.0139999999999999,0.0,0.0096666666666666,0.5189176940193458,-1.6693454123495761,-1.4144822051529842,0.2718858959945148,0.10448364447284586,-0.005653802521702056,0.21824749178386949,0.007952697195065559,0.0025609773076376947,0.01355920318406829
Eswatini,4214.861687815531,46.64,0.017,,,1.1156661644130952,-0.5235767255016438,-1.3973849851024904,,0.15931792124864316,0.07760740801133423,0.24020652933781766,0.0046268552782456635,0.0006578624580990582,0.008475789133908318
Seychelles,13306.725600683769,13.94,,,,2.379580092606241,-1.7519910225484434,,,-0.017693313492549947,-0.28707157013351037,0.27382148426822955,-0.006397987505933091,-0.021495995123096762,0.007145765111730548
Chad,696.4227755321263,110.0,0.2689999999999999,0.0045,0.0,-0.8636877298653213,1.8566168482257328,0.03878149913892259,-0.8936603061682443,0.3889931452539113,0.27833810338995507,0.49887664414699806,0.0007017896532200664,-0.004083993076717434,0.005821993080825873
Togo,992.3284293624909,64.38,0.311,0.0158333333333333,0.0165,-0.47439767596669896,0.14284742219285826,0.2781425798458254,1.095806487178548,0.2763789359960992,0.23158198664355,0.32377813537990585,0.008483975400105917,0.006802258664899252,0.010091449124899274
United Republic of Tanzania,1135.53967285156,48.87,0.362,0.0200645161290322,0.0073793103448275,-0.3261901612531456,-0.4398041297091557,0.5687953207042067,-0.003909221996439568,0.23377309297473572,0.1757398467921234,0.28686257568240325,0.010148816379196957,0.008185325058860831,0.01246149041039531
Uganda,858.0575127283598,43.32,0.715,0.0199047619047619,0.0077368421052631,-0.6342299304112743,-0.6482964645290252,2.5805682133122185,0.03919972133407238,0.23588891038913198,0.16321140656893418,0.3063784971912569,0.01220734391440859,0.009345303241560625,0.015237711172544311
South Africa,6994.211653556747,32.22,0.005,,,1.672468687348194,-1.0652811341687647,-1.4657738653044627,,0.08579046055884333,-0.06707460519325587,0.21634049426063312,0.000928307110785218,-0.0061545431365290885,0.008477496192525294
Zambia,1120.6301705247697,61.38,0.349,0.0,0.0041428571428571,-0.34072059128135757,0.03014886283076683,0.4947073671520702,-0.39414050524134925,0.2639413574978365,0.22023113224724372,0.3123097933246427,0.008600347524683532,0.007052346118321391,0.01028905909035023
Zimbabwe,1737.173976980425,53.89,0.01,0.024,,0.1412162143556152,-0.25122187370992216,-1.4372784985536409,,0.22470636672452904,0.17417921045256504,0.27215749035481174,0.008018080220677995,0.006114707412273947,0.009945549859012855
